Digito,Nombre Imagen,P. Cuadrante 1,P. Cuadrante 2,P. Cuadrante 3,P. Cuadrante 4,P. Cuadrante 5,P. Cuadrante 6,P. Cuadrante 7,P. Cuadrante 8,P. Cuadrante 9
8,8_100076.jpg,0.0267,0.1333,0.0,0.0311,0.12,0.0,0.0489,0.1333,0.0
8,8_1005.jpg,0.0,0.1689,0.0444,0.0,0.1333,0.0,0.0533,0.1022,0.0
8,8_10052.jpg,0.0933,0.0667,0.1022,0.0711,0.0889,0.0044,0.0844,0.0756,0.0
8,8_100625.jpg,0.0,0.1867,0.0,0.0,0.1289,0.0,0.0,0.1289,0.0
8,8_10183.jpg,0.0889,0.0889,0.0,0.0356,0.1422,0.0489,0.0,0.0889,0.0622
8,8_101990.jpg,0.0,0.0889,0.0756,0.0222,0.1556,0.0089,0.0533,0.12,0.0044
8,8_102006.jpg,0.0,0.0889,0.0889,0.0267,0.1467,0.0178,0.0533,0.08,0.0311
8,8_102105.jpg,0.0578,0.2133,0.0356,0.0444,0.0889,0.0311,0.0444,0.0667,0.0533
8,8_103154.jpg,0.04,0.1689,0.0,0.0356,0.1689,0.0,0.0622,0.0889,0.0667
8,8_103170.jpg,0.0133,0.1867,0.0533,0.0222,0.1689,0.0089,0.04,0.1067,0.0533
8,8_103193.jpg,0.0444,0.1067,0.0222,0.0356,0.1156,0.0,0.0489,0.1022,0.0
8,8_10344.jpg,0.0533,0.1022,0.0,0.0267,0.1244,0.0,0.0,0.1556,0.0222
8,8_103487.jpg,0.0933,0.0978,0.0356,0.0533,0.1467,0.0222,0.0844,0.0756,0.08
8,8_103503.jpg,0.0711,0.0756,0.0089,0.0622,0.0489,0.0489,0.0,0.2044,0.04
8,8_103991.jpg,0.0978,0.0756,0.0,0.0356,0.1289,0.0356,0.0,0.0933,0.0844
8,8_104073.jpg,0.0,0.1689,0.0,0.0533,0.1111,0.0089,0.0622,0.0667,0.0756
8,8_104335.jpg,0.0933,0.1022,0.0,0.0356,0.0978,0.0133,0.0711,0.0667,0.08
8,8_104398.jpg,0.0756,0.1467,0.0,0.0667,0.1378,0.0,0.0089,0.0889,0.0933
8,8_104553.jpg,0.0889,0.0667,0.0578,0.0089,0.1244,0.04,0.0756,0.0667,0.0533
8,8_10475.jpg,0.0667,0.1156,0.0,0.0178,0.1289,0.0356,0.0,0.0933,0.04
8,8_105321.jpg,0.0311,0.1733,0.0267,0.0533,0.1378,0.0178,0.0267,0.0933,0.0578
8,8_105790.jpg,0.08,0.0711,0.0444,0.0489,0.1644,0.0,0.0667,0.0667,0.0844
8,8_106244.jpg,0.0,0.1422,0.0933,0.0,0.1511,0.0311,0.0978,0.0756,0.1022
8,8_10636.jpg,0.04,0.1422,0.0,0.0222,0.1289,0.0089,0.0,0.1022,0.04
8,8_106518.jpg,0.0,0.1378,0.0667,0.0267,0.1422,0.0,0.0578,0.12,0.0
8,8_106586.jpg,0.0622,0.0756,0.0844,0.0844,0.1067,0.0,0.0756,0.1022,0.0
8,8_106652.jpg,0.0933,0.1111,0.0,0.04,0.1067,0.0089,0.0622,0.0667,0.08
8,8_1068.jpg,0.0,0.1778,0.0667,0.0267,0.1422,0.0044,0.0489,0.1067,0.0
8,8_106831.jpg,0.0,0.0711,0.0711,0.0089,0.1422,0.0311,0.0667,0.1244,0.0
8,8_10767.jpg,0.0667,0.12,0.0,0.0489,0.1156,0.0356,0.0356,0.08,0.0311
8,8_107918.jpg,0.0756,0.12,0.04,0.0222,0.1111,0.0356,0.0178,0.0844,0.0711
