Digito,Nombre Imagen,P. Cuadrante 1,P. Cuadrante 2,P. Cuadrante 3,P. Cuadrante 4,P. Cuadrante 5,P. Cuadrante 6,P. Cuadrante 7,P. Cuadrante 8,P. Cuadrante 9
6,6_100087.jpg,0.0089,0.0844,0.0,0.0667,0.08,0.04,0.0844,0.0711,0.0356
6,6_100152.jpg,0.0267,0.0667,0.0,0.0667,0.0,0.0,0.0578,0.1422,0.0756
6,6_100153.jpg,0.0,0.0711,0.0133,0.0667,0.0,0.0,0.0533,0.1378,0.0756
6,6_100155.jpg,0.0356,0.0356,0.0,0.0667,0.0,0.0,0.0489,0.1378,0.0533
6,6_100158.jpg,0.04,0.0622,0.0,0.0667,0.04,0.0489,0.1156,0.0933,0.0444
6,6_100186.jpg,0.0311,0.0444,0.0,0.0711,0.0667,0.0622,0.0889,0.0756,0.0267
6,6_100636.jpg,0.0,0.0756,0.0,0.0,0.1511,0.0,0.0,0.1644,0.0
6,6_100708.jpg,0.0267,0.0489,0.0,0.0667,0.0,0.0,0.0578,0.1467,0.0844
6,6_100709.jpg,0.0089,0.0667,0.0489,0.0889,0.0844,0.0,0.1378,0.1022,0.0
6,6_100711.jpg,0.0,0.0711,0.0,0.0089,0.0578,0.0,0.0578,0.1467,0.0622
6,6_100714.jpg,0.0267,0.0444,0.0,0.0667,0.0489,0.0311,0.1022,0.0933,0.04
6,6_100753.jpg,0.0,0.0667,0.0,0.0,0.0889,0.0,0.0,0.2044,0.0
6,6_100982.jpg,0.0,0.0667,0.0133,0.0489,0.0711,0.0,0.0844,0.1111,0.0
6,6_101664.jpg,0.0133,0.08,0.0178,0.0667,0.0622,0.0,0.0978,0.1111,0.0
6,6_10192.jpg,0.0,0.0667,0.0,0.0178,0.08,0.0133,0.0622,0.08,0.0044
6,6_101988.jpg,0.0089,0.0667,0.0,0.0711,0.0578,0.0,0.0267,0.0889,0.0489
6,6_1021.jpg,0.0,0.0667,0.0,0.0133,0.12,0.0044,0.0622,0.0756,0.0222
6,6_102116.jpg,0.04,0.0711,0.04,0.0933,0.0533,0.0,0.0756,0.1022,0.0222
6,6_102163.jpg,0.0444,0.0667,0.0311,0.0711,0.08,0.0311,0.08,0.08,0.0578
6,6_102164.jpg,0.04,0.0711,0.0444,0.1378,0.08,0.0133,0.0533,0.0711,0.0533
6,6_102166.jpg,0.0444,0.0711,0.0489,0.12,0.0711,0.0,0.0711,0.1111,0.0
6,6_102169.jpg,0.0444,0.0667,0.0356,0.1244,0.0844,0.0178,0.0667,0.0711,0.0489
6,6_102197.jpg,0.04,0.0711,0.0578,0.0978,0.0711,0.0444,0.0622,0.0667,0.0489
6,6_102833.jpg,0.0311,0.0844,0.0,0.0889,0.0667,0.0222,0.0756,0.0667,0.0622
6,6_102935.jpg,0.0444,0.0756,0.0267,0.0756,0.0711,0.0,0.0756,0.0844,0.0267
6,6_1031.jpg,0.0089,0.0578,0.0,0.0978,0.0667,0.0267,0.0444,0.0667,0.0711
