Digito,Nombre Imagen,P. Cuadrante 1,P. Cuadrante 2,P. Cuadrante 3,P. Cuadrante 4,P. Cuadrante 5,P. Cuadrante 6,P. Cuadrante 7,P. Cuadrante 8,P. Cuadrante 9
9,9_100061.jpg,0.0622,0.0933,0.0756,0.0,0.0667,0.08,0.0267,0.0667,0.0667
9,9_100062.jpg,0.0578,0.1556,0.0,0.0222,0.0756,0.0267,0.0044,0.0889,0.0578
9,9_100083.jpg,0.0622,0.0711,0.0578,0.0089,0.0667,0.0756,0.0356,0.0667,0.0578
9,9_1002.jpg,0.1111,0.1111,0.0444,0.0533,0.0667,0.08,0.0,0.0622,0.0756
9,9_1003.jpg,0.0089,0.1689,0.0444,0.0,0.0489,0.0667,0.0222,0.0667,0.0311
9,9_10049.jpg,0.0311,0.1867,0.0,0.0,0.0667,0.0,0.0,0.0711,0.0
9,9_1006.jpg,0.0,0.2,0.0578,0.0,0.0667,0.0667,0.0444,0.0667,0.0444
9,9_100610.jpg,0.0533,0.1778,0.0,0.0089,0.1022,0.0,0.0,0.0622,0.0044
9,9_100611.jpg,0.0622,0.0711,0.0711,0.0444,0.0667,0.0889,0.0,0.0,0.0667
9,9_100632.jpg,0.0711,0.1067,0.0089,0.0089,0.1333,0.0,0.0,0.0667,0.0
9,9_10187.jpg,0.0622,0.1111,0.0311,0.0133,0.04,0.04,0.0133,0.0533,0.0
9,9_101992.jpg,0.0889,0.0667,0.1289,0.0356,0.0667,0.08,0.0,0.0489,0.0222
9,9_102090.jpg,0.0444,0.1333,0.0578,0.0089,0.1067,0.0,0.0,0.0889,0.0
9,9_102091.jpg,0.0578,0.1378,0.0933,0.0133,0.0978,0.0,0.0,0.0756,0.0
9,9_102112.jpg,0.0756,0.0844,0.0933,0.0133,0.0711,0.0844,0.0311,0.0711,0.0667
9,9_1022.jpg,0.0,0.2089,0.0,0.0,0.1378,0.0044,0.0133,0.0756,0.0356
9,9_103156.jpg,0.04,0.1111,0.1156,0.0444,0.0667,0.0667,0.0,0.0,0.08
9,9_103178.jpg,0.0711,0.0667,0.0933,0.04,0.0667,0.0889,0.0,0.0,0.0667
9,9_103179.jpg,0.0756,0.0889,0.0578,0.0044,0.1022,0.0178,0.0,0.0667,0.0
9,9_103200.jpg,0.0489,0.1422,0.0533,0.0,0.0578,0.0089,0.0,0.0667,0.0
9,9_10341.jpg,0.0,0.0667,0.1067,0.0,0.0489,0.0178,0.0356,0.0356,0.0
9,9_103489.jpg,0.0933,0.12,0.12,0.0356,0.0933,0.0311,0.0,0.0667,0.0
9,9_104058.jpg,0.0178,0.1422,0.1156,0.0,0.0,0.0667,0.0267,0.0844,0.0044
9,9_104059.jpg,0.0,0.1022,0.1067,0.0,0.0844,0.1111,0.0178,0.0667,0.0533
9,9_104080.jpg,0.0311,0.08,0.1156,0.0578,0.1289,0.0178,0.0,0.0844,0.0
9,9_10479.jpg,0.0533,0.1422,0.0,0.0089,0.0933,0.0,0.0,0.0667,0.0
9,9_10633.jpg,0.0578,0.1822,0.0,0.0,0.0889,0.0,0.0,0.04,0.0267
9,9_1072.jpg,0.1378,0.1333,0.0,0.0444,0.1067,0.0489,0.0,0.0711,0.0533
9,9_10771.jpg,0.0,0.1867,0.0,0.0,0.1067,0.0,0.0,0.0667,0.0
9,9_10925.jpg,0.0,0.2311,0.0,0.0,0.0844,0.0,0.0,0.0711,0.0
9,9_1105.jpg,0.0667,0.1467,0.0489,0.0,0.1156,0.0533,0.0089,0.0667,0.0533
9,9_11063.jpg,0.0267,0.0622,0.0444,0.0622,0.0667,0.0667,0.0,0.0,0.0667
9,9_1110.jpg,0.0578,0.1378,0.0222,0.0222,0.0756,0.0844,0.0178,0.0667,0.0667
9,9_111155.jpg,0.0,0.1822,0.0,0.0,0.1067,0.0,0.0,0.0667,0.0
9,9_111893.jpg,0.0578,0.0933,0.0356,0.0,0.0489,0.0667,0.0178,0.0711,0.0489
9,9_11217.jpg,0.0444,0.1022,0.0978,0.0267,0.0578,0.0578,0.0,0.0,0.0844
9,9_1127.jpg,0.1111,0.1378,0.0,0.04,0.08,0.0444,0.0,0.0667,0.08
9,9_112736.jpg,0.0667,0.0711,0.1244,0.0578,0.0933,0.0756,0.0,0.0,0.0711
9,9_112737.jpg,0.0711,0.0756,0.0844,0.04,0.0889,0.0711,0.0,0.0,0.0889
