Digito,Nombre Imagen,P. Cuadrante 1,P. Cuadrante 2,P. Cuadrante 3,P. Cuadrante 4,P. Cuadrante 5,P. Cuadrante 6,P. Cuadrante 7,P. Cuadrante 8,P. Cuadrante 9
0,0_100070.jpg,0.0178,0.1333,0.0311,0.0667,0.0,0.0667,0.0667,0.0711,0.04
0,0_100080.jpg,0.0756,0.1111,0.0044,0.0667,0.0,0.0667,0.0489,0.0889,0.04
0,0_100081.jpg,0.0844,0.0889,0.04,0.0667,0.0,0.0711,0.0711,0.0667,0.0622
0,0_100107.jpg,0.0667,0.1022,0.04,0.0667,0.0,0.0667,0.0622,0.0844,0.0222
0,0_100247.jpg,0.0978,0.0667,0.0889,0.0667,0.0,0.0756,0.0756,0.0667,0.0667
0,0_100269.jpg,0.08,0.0711,0.0978,0.0667,0.0,0.0667,0.0889,0.0667,0.0844
0,0_100289.jpg,0.1244,0.0667,0.0622,0.1289,0.0,0.0844,0.0444,0.0667,0.1022
0,0_100292.jpg,0.1156,0.0667,0.1022,0.0667,0.0,0.0667,0.0933,0.0844,0.0578
0,0_100312.jpg,0.0,0.1644,0.0,0.0,0.1511,0.0,0.0,0.1644,0.0
0,0_100314.jpg,0.0933,0.0667,0.0933,0.0756,0.0,0.0711,0.1067,0.0844,0.0533
0,0_100328.jpg,0.0756,0.0667,0.12,0.0978,0.0,0.0667,0.0889,0.0667,0.0844
0,0_100356.jpg,0.0711,0.0711,0.0756,0.1467,0.0,0.0667,0.0844,0.0667,0.0978
0,0_100368.jpg,0.0622,0.0844,0.0667,0.0667,0.0,0.0667,0.1067,0.08,0.0622
0,0_100392.jpg,0.0933,0.08,0.0933,0.0667,0.0,0.0667,0.0756,0.0711,0.1067
0,0_100452.jpg,0.0844,0.0667,0.0533,0.0667,0.0,0.0667,0.08,0.0711,0.0756
0,0_10046.jpg,0.0667,0.0889,0.0444,0.0667,0.0,0.0667,0.0711,0.0667,0.0267
0,0_100460.jpg,0.0978,0.1111,0.0,0.0667,0.0089,0.0578,0.0489,0.0667,0.0533
0,0_100507.jpg,0.0622,0.0711,0.0489,0.0667,0.0,0.0667,0.0533,0.0889,0.0444
0,0_100619.jpg,0.0844,0.08,0.04,0.0667,0.0,0.0667,0.08,0.0667,0.0267
0,0_100629.jpg,0.0444,0.0889,0.0578,0.0222,0.0533,0.0667,0.0,0.0933,0.04
0,0_100630.jpg,0.0622,0.1156,0.0578,0.0178,0.0933,0.0533,0.0,0.1378,0.0
0,0_100656.jpg,0.0,0.1556,0.0,0.0,0.1333,0.0,0.0,0.1422,0.0
0,0_100856.jpg,0.1467,0.0756,0.0622,0.0667,0.0,0.0667,0.0889,0.0667,0.0933
0,0_100861.jpg,0.0178,0.1511,0.0089,0.0578,0.0089,0.0667,0.0578,0.0711,0.0622
0,0_100984.jpg,0.0667,0.1022,0.0311,0.0667,0.0,0.0667,0.0444,0.0889,0.0489
0,0_1010.jpg,0.0533,0.1289,0.0311,0.0267,0.04,0.0667,0.0,0.0889,0.0756
0,0_101003.jpg,0.0756,0.0711,0.0844,0.0667,0.0,0.0667,0.0933,0.0711,0.0667
0,0_101037.jpg,0.0,0.1556,0.0,0.0,0.1333,0.0,0.0,0.16,0.0
0,0_101099.jpg,0.0267,0.1156,0.0356,0.0,0.1022,0.0311,0.0,0.1289,0.0
0,0_101115.jpg,0.0356,0.0711,0.0444,0.1156,0.0,0.0711,0.0489,0.0667,0.0756
0,0_101130.jpg,0.12,0.0667,0.0711,0.1067,0.0,0.0667,0.0711,0.0756,0.0356
0,0_101167.jpg,0.0533,0.1556,0.04,0.0667,0.0,0.0667,0.0578,0.0667,0.0622
0,0_101174.jpg,0.0622,0.0711,0.0578,0.0667,0.0,0.0667,0.0356,0.08,0.04
0,0_101196.jpg,0.0667,0.0978,0.0133,0.0667,0.0,0.0667,0.04,0.0711,0.08
0,0_101216.jpg,0.1067,0.0667,0.0622,0.0667,0.0,0.0667,0.04,0.0667,0.0978
0,0_101219.jpg,0.0844,0.0933,0.0711,0.0622,0.0044,0.0667,0.0,0.0756,0.0844
0,0_101239.jpg,0.0133,0.1511,0.0311,0.0667,0.0178,0.0489,0.0533,0.0889,0.0
0,0_101260.jpg,0.0489,0.0711,0.0311,0.0667,0.0,0.0667,0.0,0.08,0.0711
0,0_101272.jpg,0.1022,0.0667,0.0933,0.0667,0.0,0.0667,0.0489,0.0711,0.0533
0,0_101304.jpg,0.04,0.0711,0.1156,0.0711,0.0,0.0711,0.0578,0.0844,0.0222
0,0_101353.jpg,0.0444,0.1333,0.0,0.0667,0.0667,0.0,0.0044,0.1467,0.0
0,0_101361.jpg,0.0978,0.0667,0.0711,0.0667,0.0,0.0667,0.0889,0.0667,0.0356
0,0_101408.jpg,0.0,0.1822,0.0,0.0,0.1333,0.0,0.0,0.1289,0.0
0,0_101538.jpg,0.0667,0.0667,0.0489,0.0667,0.0,0.0667,0.0578,0.0711,0.0356
0,0_101543.jpg,0.0933,0.0667,0.0889,0.0667,0.0,0.0667,0.0667,0.0711,0.0711
0,0_101666.jpg,0.0,0.1467,0.0178,0.04,0.0356,0.0578,0.0489,0.1022,0.0
0,0_101685.jpg,0.0,0.1733,0.0,0.0,0.1333,0.0,0.0,0.1467,0.0
0,0_101719.jpg,0.0,0.1911,0.0,0.0,0.1333,0.0,0.0,0.1556,0.0
0,0_101836.jpg,0.0844,0.0667,0.0978,0.0756,0.0,0.0667,0.0844,0.0711,0.0711
0,0_101841.jpg,0.0756,0.1022,0.0844,0.0667,0.0,0.0756,0.0844,0.08,0.0622
0,0_101850.jpg,0.0711,0.1289,0.0356,0.0667,0.0,0.0667,0.0844,0.0711,0.04
0,0_101855.jpg,0.0711,0.0933,0.0978,0.0711,0.0,0.0667,0.0844,0.0711,0.0889
0,0_101919.jpg,0.0311,0.0711,0.0622,0.0711,0.0,0.0667,0.0356,0.1156,0.0356
0,0_101927.jpg,0.0444,0.0978,0.0533,0.0667,0.0,0.0667,0.0711,0.0756,0.0089
0,0_101993.jpg,0.0,0.12,0.0578,0.0622,0.0044,0.0667,0.08,0.0756,0.0178
0,0_102099.jpg,0.0711,0.1156,0.0,0.0667,0.0178,0.0578,0.0444,0.0711,0.0622
0,0_102109.jpg,0.1067,0.1022,0.0089,0.0667,0.0,0.0667,0.0667,0.08,0.04
0,0_102110.jpg,0.0489,0.1022,0.0489,0.0667,0.0,0.0667,0.0533,0.0756,0.0578
0,0_102136.jpg,0.08,0.1111,0.0,0.0667,0.0044,0.0622,0.0222,0.1067,0.0133
0,0_102258.jpg,0.1067,0.0667,0.0667,0.0667,0.0,0.0667,0.0889,0.0667,0.0622
0,0_102272.jpg,0.1378,0.0711,0.0578,0.0667,0.0,0.0756,0.08,0.0667,0.0622
0,0_102309.jpg,0.1156,0.0844,0.0533,0.0756,0.0,0.0667,0.0089,0.0756,0.08
0,0_102316.jpg,0.0844,0.0756,0.0489,0.0667,0.0,0.0667,0.0444,0.0756,0.0222
0,0_102338.jpg,0.0133,0.0844,0.08,0.08,0.0,0.0667,0.0889,0.0667,0.04
0,0_102358.jpg,0.0,0.1111,0.0667,0.0444,0.0667,0.0711,0.0,0.1467,0.04
0,0_102361.jpg,0.1244,0.0756,0.0267,0.0667,0.0,0.0711,0.0489,0.0667,0.0756
0,0_102381.jpg,0.0844,0.0756,0.0267,0.0667,0.0,0.0667,0.0489,0.0756,0.0311
0,0_102383.jpg,0.0844,0.0667,0.0756,0.0889,0.0,0.0711,0.08,0.0756,0.0267
0,0_102397.jpg,0.0756,0.0667,0.0933,0.0889,0.0,0.0667,0.0489,0.0667,0.0667
0,0_102462.jpg,0.0267,0.1556,0.0178,0.0667,0.0,0.0667,0.0578,0.0844,0.0444
0,0_102480.jpg,0.0533,0.0978,0.0356,0.0667,0.0,0.0667,0.0489,0.08,0.04
0,0_102492.jpg,0.0533,0.08,0.0844,0.0711,0.0,0.0667,0.1067,0.0844,0.0178
0,0_102524.jpg,0.0578,0.0667,0.0889,0.0667,0.0,0.0667,0.08,0.0711,0.0
0,0_102573.jpg,0.0667,0.0044,0.0489,0.1244,0.1556,0.0756,0.0,0.0133,0.04
0,0_102581.jpg,0.0,0.1644,0.0,0.0,0.1333,0.0,0.0,0.1467,0.0
0,0_102628.jpg,0.0,0.1333,0.0356,0.04,0.0578,0.0356,0.0622,0.0933,0.0
0,0_10267.jpg,0.0933,0.0667,0.0533,0.0667,0.0,0.0667,0.0711,0.0667,0.0489
0,0_102787.jpg,0.0,0.1467,0.0267,0.0578,0.0089,0.0667,0.0578,0.0978,0.0044
0,0_102792.jpg,0.0533,0.1067,0.0356,0.0667,0.0,0.0711,0.0711,0.0889,0.0
0,0_102937.jpg,0.0,0.1556,0.0,0.0,0.1333,0.0,0.0,0.1556,0.0
0,0_102956.jpg,0.0,0.1644,0.0,0.0,0.1333,0.0,0.0,0.1511,0.0
0,0_102990.jpg,0.0,0.1644,0.0,0.0667,0.0667,0.0,0.0622,0.0844,0.0
0,0_103157.jpg,0.0756,0.0844,0.0933,0.0667,0.0,0.0667,0.0978,0.0756,0.0622
0,0_103187.jpg,0.0622,0.08,0.0533,0.0667,0.0,0.0667,0.0622,0.0711,0.0444
